ICPSR_ID,Congress,Party,State,District,LastName,FirstName,NumChildren,NumDaughters,NumSons,Female,AAUWrating
15445,111,R,TEXAS,21,SMITH,LAMAR,2,0,2,0,10
20948,111,R,TEXAS,22,OLSON,PETE,2,1,1,0,0
29771,111,D,TEXAS,23,RODRIGUEZ,CIRO,1,1,0,0,82
29571,111,D,TEXAS,25,DOGGETT,LLOYD,2,2,0,0,82
15049,111,D,TEXAS,27,ORTIZ,SOLOMON,2,1,1,0,73
20533,111,D,TEXAS,28,CUELLAR,HENRY,2,2,0,0,73
39304,111,D,TEXAS,29,GREEN,GENE,2,1,1,0,82
20356,111,R,TEXAS,31,CARTER,JOHN,4,2,2,0,0
29759,111,R,TEXAS,32,SESSIONS,PETE,2,0,2,0,0
20357,111,R,UTAH,1,BISHOP,ROB   ,5,1,4,0,0
20140,111,D,UTAH,2,MATHESON,JIM,2,0,2,0,73
20949,111,R,UTAH,3,CHAFFETZ,JASON,3,2,1,0,0
20750,111,D,VERMONT,1,WELCH,PETER,5,2,3,0,82
20756,111,R,VIRGINI,1,WITTMAN,ROBERT,2,0,2,0,9
20143,111,R,VIRGINI,4,FORBES,J. RANDY,4,1,3,0,0
39308,111,R,VIRGINI,6,GOODLATTE,BOB,2,1,1,0,0
29149,111,D,VIRGINI,8,MORAN,JAMES,4,2,2,0,91
14869,111,R,VIRGINI,10,WOLF,FRANK,5,4,1,0,18
20952,111,D,VIRGINI,11,CONNOLLY,GERALD,1,1,0,0,91
29937,111,D,WASHING,1,INSLEE,JAY,3,0,3,0,82
20145,111,D,WASHING,2,LARSEN,RICK,2,0,2,0,82
29580,111,R,WASHING,4,HASTINGS,DOC,3,2,1,0,0
20535,111,R,WASHING,5,MCMORRIS RODGERS,CATHY,1,0,1,1,0
14413,111,D,WASHING,6,DICKS,NORMAN,2,0,2,0,82
15613,111,D,WASHING,7,MCDERMOTT,JIM,2,1,1,0,100
20536,111,R,WASHING,8,REICHERT,DAVID,3,2,1,0,36
15083,111,D,WEST VI,1,MOLLOHAN,ALAN,5,1,4,0,73
14448,111,D,WEST VI,3,RAHALL,NICK,3,2,1,0,64
29939,111,R,WISCONS,1,RYAN,PAUL,3,1,2,0,0
29769,111,D,WISCONS,3,KIND,RON,2,0,2,0,82
20537,111,D,WISCONS,4,MOORE,GWEN,3,0,0,1,90
14657,111,R,WISCONS,5,SENSENBRENNER,F. JAMES,2,0,2,0,0
14675,111,R,WISCONS,6,PETRI,THOMAS,1,1,0,0,9
