congress,chamber,state,district,party,id,last_name,first_name,middle_name,nick_name,icpsr,born,died,nominate_dim1,nominate_dim2,female,ngirls,nboys,nchildren,high_confidence,aauw_voting,aauw_all,aauw_women_voting,aauw_women_all,anygirls
97,House,FL,15,D,F000041,Fascell,Dante,Bruno,NA,3078,1917,1998,-0.4,0.229,0,2,1,3,1,88,78,50,50,1
97,House,CA,4,D,F000053,Fazio,Victor,Herbert,NA,14624,1942,NA,-0.455,0.36,0,3,1,4,0,89,89,100,100,1
97,House,NJ,5,R,F000078,Fenwick,Millicent,Hammond,NA,14221,1910,1992,0.134,-0.976,1,0,1,1,1,67,67,50,50,0
97,House,NY,9,D,F000088,Ferraro,Geraldine,Anne,NA,14625,1935,2011,-0.384,-0.014,1,2,1,3,1,100,100,100,100,1
97,House,CA,21,R,F000102,Fiedler,Bobbi,NA,NA,14821,1937,NA,0.343,-0.258,1,1,1,2,1,67,67,50,50,0
97,House,TX,8,R,F000111,Fields,Jack,Milton,NA,14822,1952,NA,0.541,-0.128,0,2,0,2,0,12,11,0,0,1
97,House,IL,20,R,F000123,Findley,Paul,NA,NA,10517,1921,NA,0.246,-0.525,0,1,1,2,1,78,78,50,50,0
97,House,NY,25,R,F000141,Fish,Hamilton,NA,NA,12013,1926,1996,0.07,-0.423,0,1,2,3,1,67,67,0,0,0
97,House,IN,2,D,F000161,Fithian,Floyd,James,NA,14222,1928,2003,-0.165,-0.061,0,2,1,3,1,78,78,50,50,1
97,House,AL,5,D,F000208,Flippo,Ronnie,Gene,NA,14419,1937,NA,-0.175,0.834,0,2,4,6,0,62,56,50,50,1
97,House,MI,15,D,F000270,Ford,William,David,NA,10727,1927,2004,-0.516,0.098,0,1,2,3,1,89,89,100,100,0
97,House,TN,8,D,F000261,Ford,Harold,Eugene,NA,14224,1945,NA,-0.438,-0.064,0,1,1,2,0,100,100,100,100,0
97,House,NJ,6,R,F000286,Forsythe,Edwin,Bell,NA,12046,1916,1984,0.326,-0.945,0,1,0,1,1,67,67,50,50,0
97,House,NC,2,D,F000319,Fountain,Lawrence,H.,NA,3321,1913,2002,-0.041,0.73,0,1,0,1,1,67,67,50,50,0
97,House,GA,5,D,F000329,Fowler,Wyche,NA,NA,14467,1940,NA,-0.237,0.196,0,1,1,2,0,88,78,100,100,0
97,House,MN,3,R,F000380,Frenzel,William,Eldridge,NA,13015,1928,2014,0.353,-0.815,0,3,0,3,1,38,33,50,50,1
97,House,NY,21,D,G000047,Garcia,Robert,NA,NA,14470,1933,NA,-0.559,-0.349,0,1,2,3,1,100,89,100,100,0
97,House,PA,20,D,G000105,Gaydos,Joseph,Matthew,NA,11067,1926,2015,-0.278,0.398,0,0,1,1,1,75,67,50,50,0
97,House,CT,2,D,G000120,Gejdenson,Samuel,NA,NA,14825,1948,NA,-0.416,-0.486,0,1,1,2,0,100,100,100,100,0
97,House,MO,3,D,G000132,Gephardt,Richard,Andrew,NA,14421,1941,NA,-0.416,0.245,0,2,1,3,0,75,67,50,50,1
97,House,FL,7,D,G000153,Gibbons,Sam,Melville,NA,10588,1920,2012,-0.233,0.17,0,0,3,3,1,44,44,0,0,0
97,House,NY,26,R,G000212,Gilman,Benjamin,Arthur,NA,14015,1922,NA,0.043,-0.425,0,2,3,5,1,67,67,50,50,1
97,House,GA,6,R,G000225,Gingrich,Newton,Leroy,NA,14627,1943,NA,0.377,-0.257,0,2,0,2,0,62,56,0,0,1
97,House,GA,1,D,G000226,Ginn,Ronald,Bryan,Bo,14016,1934,2005,-0.217,0.849,0,2,0,2,1,67,67,50,50,1
97,House,KS,4,D,G000240,Glickman,Daniel,Robert,NA,14422,1944,NA,-0.133,-0.149,0,1,1,2,1,89,89,50,50,0
97,House,CA,20,R,G000268,Goldwater,Barry,Morris,NA,12037,1938,NA,0.355,-0.025,0,2,0,2,0,50,33,0,0,1
97,House,TX,20,D,G000272,Gonzalez,Henry,B.,NA,10520,1916,2000,-0.538,0.558,0,4,4,8,1,78,78,100,100,1
97,House,PA,19,R,G000291,Goodling,William,Franklin,NA,14288,1927,NA,0.336,-0.494,0,1,1,2,1,25,22,0,0,0
97,House,TN,4,D,G000321,Gore,Albert,Arnold,NA,14423,1948,NA,-0.316,0.155,0,3,1,4,0,89,89,50,50,1
97,House,OH,1,R,G000349,Gradison,Willis,David,NA,14225,1928,NA,0.233,-0.338,0,5,0,5,0,62,56,0,0,1
97,House,TX,6,D,G000365,Gramm,William,Philip,Phil,94628,1942,NA,0.215,0.755,0,0,2,2,0,11,11,0,0,0
97,House,PA,2,D,G000402,Gray,William,Herbert,NA,14629,1941,2013,-0.511,-0.219,0,0,3,3,1,100,100,100,100,0
97,House,NY,18,R,G000417,Green,Sedgwick,William,Bill,14471,1929,2002,-0.044,-0.733,0,1,2,3,1,78,78,50,50,0
97,House,NH,2,R,G000445,Gregg,Judd,Alan,NA,14826,1947,NA,0.429,-0.737,0,2,1,3,0,33,33,0,0,1
97,House,CA,33,R,G000480,Grisham,Wayne,Richard,NA,14630,1923,2011,0.395,-0.092,0,2,1,3,1,22,22,0,0,1
97,House,OH,4,R,G000537,Guyer,Tennyson,NA,NA,14018,1913,1981,0.217,-0.059,0,2,0,2,1,NA,NA,NA,NA,1
97,House,MN,2,R,H000012,Hagedorn,Thomas,Michael,NA,14227,1943,NA,0.308,-0.055,0,1,2,3,0,50,44,0,0,0
97,House,IN,1,D,H000058,Hall,Katie,Beatrice,NA,14880,1938,2012,-0.529,0.095,1,2,0,2,1,NA,NA,NA,NA,1
