state,office,name,party,rating,congress
MN,U.S. House - 3,Dean Phillips,Democratic/Farmer/Labor,86%,116
MN,U.S. House - 4,Betty McCollum,Democratic,100%,116
MN,U.S. House - 5,Ilhan Omar,Democratic/Farmer/Labor,100%,116
MN,U.S. House - 6,Tom Emmer,Republican,0%,116
MN,U.S. House - 8,Peter Stauber,Republican,14%,116
MO,U.S. Senate - Sr,Roy Blunt,Republican,0%,116
MO,U.S. Senate - Jr,Joshua Hawley,Republican,14%,116
MO,U.S. House - 2,Ann Wagner,Republican,14%,116
MO,U.S. House - 3,Blaine Luetkemeyer,Republican,14%,116
MO,U.S. House - 4,Vicky Hartzler,Republican,14%,116
MO,U.S. House - 5,Emanuel Cleaver II,Democratic,86%,116
MO,U.S. House - 6,Sam Graves,Republican,0%,116
MO,U.S. House - 7,Billy Long,Republican,0%,116
MO,U.S. House - 8,Jason Smith,Republican,0%,116
MP,U.S. House - Delegate,Kilili Sablan,Democratic,100%,116
MS,U.S. Senate - Sr,Roger Wicker,Republican,0%,116
MS,U.S. Senate - Jr,Cindy Hyde-Smith,Republican,14%,116
MS,U.S. House - 1,Trent Kelly,Republican,14%,116
MS,U.S. House - 2,Bennie Thompson,Democratic,100%,116
MS,U.S. House - 3,Michael Guest,Republican,14%,116
MS,U.S. House - 4,Steven Palazzo,Republican,0%,116
MT,U.S. Senate - Sr,Jon Tester,Democratic,43%,116
MT,U.S. Senate - Jr,Steve Daines,Republican,0%,116
MT,Governor,Greg Gianforte,Republican,0%,116
NA,Vice President,Kamala Harris,Democratic,100%,116
NA,U.S. Secretary of Housing and Urban Development,Marcia Fudge,,86%,116
NA,U.S. Secretary of the Interior,Deb Haaland,,100%,116
NC,U.S. Senate - Sr,Richard Burr,Republican,0%,116
NC,U.S. Senate - Jr,Thom Tillis,Republican,14%,116
NC,U.S. House - 1,"G.K. Butterfield, Jr.",Democratic,86%,116
NC,U.S. House - 3,Greg Murphy,Republican,25%,116
NC,U.S. House - 4,David Price,Democratic,86%,116
NC,U.S. House - 5,Virginia Foxx,Republican,14%,116
NC,U.S. House - 7,David Rouzer,Republican,0%,116
NC,U.S. House - 8,"Richard Hudson, Jr.",Republican,14%,116
NC,U.S. House - 9,Dan Bishop,Republican,0%,116
NC,U.S. House - 10,Patrick McHenry,Republican,17%,116
NC,U.S. House - 12,Alma Adams,Democratic,100%,116
NC,U.S. House - 13,Ted Budd,Republican,0%,116
ND,U.S. Senate - Sr,John Hoeven,Republican,0%,116
ND,U.S. Senate - Jr,Kevin Cramer,Republican,14%,116
ND,U.S. House - At-Large,Kelly Armstrong,Republican,14%,116
NE,U.S. Senate - Sr,Deb Fischer,Republican,0%,116
NE,U.S. Senate - Jr,Ben Sasse,Republican,0%,116
NE,U.S. House - 1,Jeff Fortenberry,Republican,17%,116
NE,U.S. House - 2,Donald Bacon,Republican,0%,116
NE,U.S. House - 3,Adrian Smith,Republican,0%,116
NH,U.S. Senate - Sr,Jeanne Shaheen,Democratic,57%,116
NH,U.S. Senate - Jr,Maggie Hassan,Democratic,71%,116
NH,U.S. House - 1,Chris Pappas,Democratic,86%,116
NH,U.S. House - 2,Ann Kuster,Democratic,100%,116
NJ,U.S. Senate - Sr,Bob Menendez,Democratic,57%,116
NJ,U.S. Senate - Jr,Cory Booker,Democratic,100%,116
NJ,U.S. House - 1,Donald Norcross,Democratic,100%,116
NJ,U.S. House - 2,Jeff Van Drew,Republican,86%,116
NJ,U.S. House - 3,Andy Kim,Democratic,86%,116
NJ,U.S. House - 4,Chris Smith,Republican,57%,116
NJ,U.S. House - 5,Joshua Gottheimer,Democratic,86%,116
NJ,U.S. House - 6,"Frank Pallone, Jr.",Democratic,86%,116
NJ,U.S. House - 7,Tom Malinowski,Democratic,86%,116
NJ,U.S. House - 8,Albio Sires,Democratic,100%,116
NJ,U.S. House - 9,"Bill Pascrell, Jr.",Democratic,86%,116
NJ,U.S. House - 10,"Don Payne, Jr.",Democratic,100%,116
NJ,U.S. House - 11,Mikie Sherrill,Democratic,86%,116
NJ,U.S. House - 12,Bonnie Watson Coleman,Democratic,100%,116
NM,U.S. Senate - Sr,"Ben Lujan, Jr.",Democratic,100%,116
NM,U.S. Senate - Jr,Martin Heinrich,Democratic,57%,116
NV,U.S. Senate - Sr,Catherine Cortez Masto,Democratic,43%,116
NV,U.S. Senate - Jr,Jacky Rosen,Democratic,100%,116
NV,U.S. House - 1,Dina Titus,Democratic,100%,116
NV,U.S. House - 2,Mark Amodei,Republican,14%,116
NV,U.S. House - 3,Susie Lee,Democratic,71%,116
NV,U.S. House - 4,Steven Horsford,Democratic,86%,116
NY,U.S. Senate - Sr,Chuck Schumer,Democratic,86%,116
NY,U.S. Senate - Jr,Kirsten Gillibrand,Democratic,86%,116
NY,U.S. House - 1,Lee Zeldin,Republican,14%,116
NY,U.S. House - 3,Thomas Suozzi,Democratic,100%,116
NY,U.S. House - 4,Kathleen Rice,Democratic,100%,116
NY,U.S. House - 5,Gregory Meeks,Democratic,100%,116
NY,U.S. House - 6,Grace Meng,Democratic,100%,116
NY,U.S. House - 7,Nydia Velázquez,Democratic,100%,116
NY,U.S. House - 8,Hakeem Jeffries,Democratic,100%,116
NY,U.S. House - 9,Yvette Clarke,Democratic,100%,116
NY,U.S. House - 10,Jerry Nadler,Democratic,100%,116
NY,U.S. House - 12,Carolyn Maloney,Democratic,100%,116
NY,U.S. House - 13,Adriano Espaillat,Democratic,100%,116
NY,U.S. House - 14,Alexandria Ocasio-Cortez,Democratic,100%,116
NY,U.S. House - 18,Sean Maloney,Democratic,100%,116
NY,U.S. House - 19,Antonio Delgado,Democratic,86%,116
NY,U.S. House - 20,Paul Tonko,Democratic,100%,116
NY,U.S. House - 21,Elise Stefanik,Republican,29%,116
NY,U.S. House - 23,Tom Reed II,Republican,43%,116
NY,U.S. House - 24,John Katko,Republican,29%,116
NY,U.S. House - 25,Joe Morelle,Democratic,86%,116
NY,U.S. House - 26,Brian Higgins,Democratic,86%,116
NY,U.S. House - 27,Chris Jacobs,Republican,0%,116
OH,U.S. Senate - Sr,Sherrod Brown,Democratic,100%,116
OH,U.S. Senate - Jr,Rob Portman,Republican,0%,116
OH,U.S. House - 1,Steve Chabot,Republican,14%,116
OH,U.S. House - 2,Brad Wenstrup,Republican,0%,116
OH,U.S. House - 3,Joyce Beatty,Democratic,100%,116
OH,U.S. House - 4,Jim Jordan,Republican,0%,116
OH,U.S. House - 5,Bob Latta,Republican,14%,116
OH,U.S. House - 6,Bill Johnson,Republican,0%,116
OH,U.S. House - 7,Bob Gibbs,Republican,0%,116
OH,U.S. House - 8,Warren Davidson,Republican,0%,116
OH,U.S. House - 9,Marcia Kaptur,Democratic,100%,116
OH,U.S. House - 10,Mike Turner,Republican,17%,116
OH,U.S. House - 12,Troy Balderson,Republican,14%,116
OH,U.S. House - 13,Tim Ryan,Democratic,100%,116
OH,U.S. House - 14,Dave Joyce,Republican,14%,116
OH,U.S. House - 16,Anthony Gonzalez,Republican,14%,116
OK,U.S. Senate - Sr,Jim Inhofe,Republican,0%,116
OK,U.S. Senate - Jr,James Lankford,Republican,0%,116
OK,U.S. House - 1,Kevin Hern,Republican,0%,116
OK,U.S. House - 2,Markwayne Mullin,Republican,0%,116
OK,U.S. House - 3,Frank Lucas,Republican,14%,116
OK,U.S. House - 4,Tom Cole,Republican,14%,116
OR,U.S. Senate - Sr,Ron Wyden,Democratic,86%,116
OR,U.S. Senate - Jr,Jeff Merkley,Democratic,86%,116
OR,U.S. House - 1,Suzanne Bonamici,Democratic,100%,116
OR,U.S. House - 3,Earl Blumenauer,Democratic,100%,116
OR,U.S. House - 4,Peter DeFazio,Democratic,100%,116
OR,U.S. House - 5,Kurt Schrader,Democratic,57%,116
PA,U.S. Senate - Sr,"Bob Casey, Jr.",Democratic,100%,116
PA,U.S. Senate - Jr,Pat Toomey,Republican,14%,116
PA,U.S. House - 1,Brian Fitzpatrick,Republican,71%,116
PA,U.S. House - 2,Brendan Boyle,Democratic,100%,116
PA,U.S. House - 3,Dwight Evans,Democratic,100%,116
PA,U.S. House - 4,Madeleine Dean,Democratic,100%,116
PA,U.S. House - 5,Mary Scanlon,Democratic,100%,116
PA,U.S. House - 6,Chrissy Houlahan,Democratic,86%,116
PA,U.S. House - 7,Susan Wild,Democratic,86%,116
PA,U.S. House - 8,Matt Cartwright,Democratic,100%,116
PA,U.S. House - 9,Dan Meuser,Republican,0%,116
PA,U.S. House - 10,Scott Perry,Republican,14%,116
PA,U.S. House - 11,Lloyd Smucker,Republican,17%,116
PA,U.S. House - 12,Fred Keller,Republican,20%,116
PA,U.S. House - 13,John Joyce,Republican,0%,116
PA,U.S. House - 14,Guy Reschenthaler,Republican,14%,116
PA,U.S. House - 15,"GT Thompson, Jr.",Republican,14%,116
PA,U.S. House - 16,"Mike Kelly, Jr.",Republican,14%,116
PA,U.S. House - 17,Conor Lamb,Democratic,86%,116
PA,U.S. House - 18,"Mike Doyle, Jr.",Democratic,86%,116
PR,U.S. House,Jenniffer González-Colón,New Progressive Party,0%,116
RI,U.S. Senate - Sr,Jack Reed,Democratic,71%,116
RI,U.S. Senate - Jr,Sheldon Whitehouse,Democratic,86%,116
RI,U.S. House - 1,David Cicilline,Democratic,100%,116
RI,U.S. House - 2,Jim Langevin,Democratic,100%,116
SC,U.S. Senate - Sr,Lindsey Graham,Republican,14%,116
SC,U.S. Senate - Jr,Tim Scott,Republican,14%,116
SC,U.S. House - 2,"Joe Wilson, Sr.",Republican,20%,116
SC,U.S. House - 3,Jeff Duncan,Republican,0%,116
SC,U.S. House - 4,William Timmons,Republican,0%,116
SC,U.S. House - 5,"Ralph Norman, Jr.",Republican,0%,116
SC,U.S. House - 6,Jim Clyburn,Democratic,83%,116
SC,U.S. House - 7,Tom Rice,Republican,0%,116
SD,U.S. Senate - Sr,John Thune,Republican,0%,116
SD,U.S. Senate - Jr,Mike Rounds,Republican,0%,116
SD,U.S. House - At-Large,Dusty Johnson,Republican,14%,116
TN,U.S. Senate - Sr,Marsha Blackburn,Republican,0%,116
TN,U.S. House - 2,Tim Burchett,Republican,0%,116
TN,U.S. House - 3,Chuck Fleischmann,Republican,0%,116
TN,U.S. House - 4,Scott DesJarlais,Republican,0%,116
TN,U.S. House - 5,Jim Cooper,Democratic,71%,116
TN,U.S. House - 6,John Rose,Republican,0%,116
TN,U.S. House - 7,Mark Green,Republican,0%,116
TN,U.S. House - 8,David Kustoff,Republican,14%,116
TN,U.S. House - 9,Steve Cohen,Democratic,100%,116
TX,U.S. Senate - Sr,John Cornyn,Republican,14%,116
TX,U.S. Senate - Jr,Ted Cruz,Republican,0%,116
TX,U.S. House - 1,Louie Gohmert,Republican,0%,116
TX,U.S. House - 2,Dan Crenshaw,Republican,0%,116
TX,U.S. House - 3,Van Taylor,Republican,0%,116
TX,U.S. House - 5,Lance Gooden,Republican,0%,116
TX,U.S. House - 7,Lizzie Fletcher,Democratic,71%,116
TX,U.S. House - 8,Kevin Brady,Republican,0%,116
TX,U.S. House - 9,Al Green,Democratic,86%,116
TX,U.S. House - 10,Michael McCaul,Republican,14%,116
TX,U.S. House - 12,Kay Granger,Republican,17%,116
TX,U.S. House - 14,"Randy Weber, Sr.",Republican,0%,116
TX,U.S. House - 15,Vicente Gonzalez,Democratic,86%,116
TX,U.S. House - 16,Veronica Escobar,Democratic,100%,116
TX,U.S. House - 18,Sheila Jackson Lee,Democratic,100%,116
TX,U.S. House - 19,Jodey Arrington,Republican,0%,116
TX,U.S. House - 20,Joaquin Castro,Democratic,86%,116
TX,U.S. House - 21,Chip Roy,Republican,0%,116
TX,U.S. House - 25,Roger Williams,Republican,0%,116
TX,U.S. House - 26,Michael Burgess,Republican,0%,116
TX,U.S. House - 27,Michael Cloud,Republican,0%,116
TX,U.S. House - 28,Henry Cuellar,Democratic,71%,116
TX,U.S. House - 29,Sylvia Garcia,Democratic,100%,116
